encuesta_latitude,encuesta_longitude,est,id,zona
21.1722008,-86.8436983,Percepción Seguridad,2,Cancún
21.175902,-86.8316487,Percepción Seguridad,2,Cancún
21.1623517,-86.82688259999999,Percepción Seguridad,2,Cancún
21.139688699999997,-86.8904876,Percepción Seguridad,2,Cancún
21.182274300000003,-86.84738879999999,Percepción Seguridad,2,Cancún
21.173112200000002,-86.8708865,Percepción Seguridad,2,Cancún
21.1584246,-86.8388189,Percepción Seguridad,2,Cancún
21.1628954,-86.8818822,Percepción Seguridad,2,Cancún
21.190217,-86.8358291,Percepción Seguridad,2,Cancún
21.1992233,-86.85838609999999,Percepción Seguridad,2,Cancún
21.1502337,-86.8422533,Percepción Seguridad,2,Cancún
21.149593300000003,-86.8986702,Percepción Seguridad,2,Cancún
21.1438201,-86.855682,Percepción Seguridad,2,Cancún
21.1389972,-86.8904607,Percepción Seguridad,2,Cancún
21.1719989,-86.8440902,Percepción Seguridad,2,Cancún
21.1989991,-86.85907759999999,Percepción Seguridad,2,Cancún
21.1526222,-86.8748698,Percepción Seguridad,2,Cancún
21.186131399999997,-86.87623640000001,Percepción Seguridad,2,Cancún
21.179734600000003,-86.8657758,Percepción Seguridad,2,Cancún
21.18168,-86.8470813,Percepción Seguridad,2,Cancún
21.139060399999998,-86.89037540000001,Percepción Seguridad,2,Cancún
21.1504772,-86.89857049999999,Percepción Seguridad,2,Cancún
21.1578713,-86.9184408,Percepción Seguridad,2,Cancún
21.1583331,-86.8393663,Percepción Seguridad,2,Cancún
21.177089000000002,-86.8290824,Percepción Seguridad,2,Cancún
21.179492,-86.8661744,Percepción Seguridad,2,Cancún
21.143407999999997,-86.8560143,Percepción Seguridad,2,Cancún
21.1646093,-86.9181646,Percepción Seguridad,2,Cancún
21.1622117,-86.88207170000001,Percepción Seguridad,2,Cancún
21.1532623,-86.87434559999998,Percepción Seguridad,2,Cancún
21.177789999999998,-86.8301067,Percepción Seguridad,2,Cancún
21.1812984,-86.8483854,Percepción Seguridad,2,Cancún
21.150350800000002,-86.8988688,Percepción Seguridad,2,Cancún
21.139064899999997,-86.88973790000001,Percepción Seguridad,2,Cancún
21.186579100000003,-86.87530629999999,Percepción Seguridad,2,Cancún
21.1994286,-86.8579135,Percepción Seguridad,2,Cancún
21.1639683,-86.9179005,Percepción Seguridad,2,Cancún
21.17825,-86.82922669999999,Percepción Seguridad,2,Cancún
21.1434475,-86.8559188,Percepción Seguridad,2,Cancún
21.179054999999998,-86.86604140000001,Percepción Seguridad,2,Cancún
21.1763479,-86.8258261,Percepción Seguridad,2,Cancún
21.1619496,-86.8815821,Percepción Seguridad,2,Cancún
21.1993936,-86.8578292,Percepción Seguridad,2,Cancún
21.1822533,-86.846115,Percepción Seguridad,2,Cancún
21.163675,-86.91783199999999,Percepción Seguridad,2,Cancún
21.178915,-86.829575,Percepción Seguridad,2,Cancún
21.144962,-86.8554412,Percepción Seguridad,2,Cancún
21.1863616,-86.87508659999999,Percepción Seguridad,2,Cancún
21.145394,-86.91876500000001,Percepción Seguridad,2,Cancún
21.138642800000003,-86.8899033,Percepción Seguridad,2,Cancún
21.1790734,-86.8661014,Percepción Seguridad,2,Cancún
21.178915,-86.82968670000001,Percepción Seguridad,2,Cancún
21.165146399999998,-86.91791529999999,Percepción Seguridad,2,Cancún
