uso_salina,beneficio_aqui,Desventaja_cerca,condiciones_considera_salina,efectos_condicion_salina,actividad_limpieza,cuantos_trabajan,trabajo,actividad_productiva,interc_productos_vecinos,c_ayudan,actividad_comun_vecinos,relación_vecinos,problemas_vecinos,frecuencia_favores,vecinos_ayudan,pertenece_organización,conectados al drenaje,Edad
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,,,A
