tiempo_aqui,tiempo_casa,Sexo,riesgo_casa,riesgo_calle,riesgo_zona,riesgo_ciudad,victima
Mas de 10 ,Mas de 10 ,H,C,C,C,C,No
Mas de 10 ,Mas de 10 ,M,D,E,E,E,No
Mas de 10 ,Mas de 10 ,M,C,C,D,C,No
Mas de 10 ,Entre 6 y 10 ,M,C,E,E,E,No
Mas de 10 ,Entre 1 y 5 ,M,C,E,E,E,No
Mas de 10 ,Mas de 10 ,M,C,E,E,E,No
Mas de 10 ,Mas de 10 ,H,B,C,B,B,No
Mas de 10 ,Mas de 10 ,H,C,C,D,D,Si
Mas de 10 ,Entre 6 y 10 ,H,C,C,D,E,No
Mas de 10 ,Mas de 10 ,H,D,D,E,E,No
Mas de 10 ,Entre 1 y 5 ,M,E,D,E,E,No
Mas de 10 ,Mas de 10 ,M,C,D,D,D,No
Mas de 10 ,Mas de 10 ,M,D,D,E,E,No
