edicion,word,Sentiment,Sentiment
negocio,fabrica,4,neutro
negocio,negocio,4,neutro
ninera,ninera,4,neutro
nivel,nivel,4,neutro
no,no,3,negativo
normal,normal,4,neutro
nuevos,nuevos,4,neutro
observar,observar,4,neutro
originaria,islena,5,positivo
originaria,nacio,5,positivo
originaria,originaria,5,positivo
paisaje,paisaje,4,neutro
palacio,palacio,4,neutro
participativa,participar,6,positivo
participativa,participariaen,6,positivo
participativa,participativa,6,positivo
patio,pati,4,neutro
patio,patio,4,neutro
patronales,patronales,4,neutro
pensionado,pensionado,4,neutro
permite,permite,5,positivo
personas,alguien,6,positivo
personas,gente,6,positivo
personas,persona,6,positivo
personas,personas,6,positivo
personas,quien,6,positivo
pesca,pesca,6,positivo
piedra,piedra,4,neutro
plantas,plantas,5,positivo
platicas,platicas,6,positivo
pobre,pobre,2,negativo
poco,poco,2,negativo
ponen,ponen,4,neutro
portaron,portaron,4,neutro
posibilidad,posibilidad,6,positivo
posible,posible,4,neutro
posicion,posicion,4,neutro
practica,practica,4,neutro
precio,precio,2,negativo
prepotentes,prepotentes,3,negativo
prestamo,prestamo,1,negativo
prestamo,prestamos,1,negativo
prestamo,prestan,1,negativo
prestamo,prestar,1,negativo
preveenir,preveenir,4,neutro
pri,pri,4,neutro
principio,principio,4,neutro
privacidad,privacidad,5,positivo
problema,problema,3,negativo
problema,problemas,3,negativo
problema,problematica,3,negativo
proceso,proceso,4,neutro
productiva,produccion,6,positivo
productiva,productiva,6,positivo
productiva,productora,6,positivo
programa,programa,4,neutro
promesas,promesas,4,neutro
propios,propios,4,neutro
proporcionaron,proporcionaron,4,neutro
proyecto,proyecto,6,positivo
queja,queja,3,negativo
quiere,queria,4,neutro
quiere,quiere,4,neutro
recolectan,recolectan,6,positivo
recomendaciones,reecomendaciones,4,neutro
recreacion,recreacion,6,positivo
recreacion,recreamiento,6,positivo
recreacion,recreativa,6,positivo
recreacion,recreativas,6,positivo
recreacion,recreatividad,6,positivo
recreacion,recreativo,6,positivo
recreacion,recreativos,6,positivo
recuperacion,recuperacion,6,positivo
regular,regular,4,neutro
rellenar,rellenar,2,negativo
rellenar,rellenaron,2,negativo
renta,renta,2,negativo
renta,rentan,2,negativo
renta,rentar,2,negativo
resolver,resolver,4,neutro
restaurante,restaurante,4,neutro
ride,ride,4,neutro
robo,robo,3,negativo
robo,robos,3,negativo
robo,ronai,3,negativo
ropa,ropa,4,neutro
sacar,sacar,1,negativo
sal,sal,5,positivo
salida,salida,1,negativo
salina,salina,6,positivo
salina,salinas,6,positivo
salud,salud,6,positivo
seca,seca,2,negativo
seca,sequen,2,negativo
seguridad,seguridad,4,neutro
seleccion,seleccion,4,neutro
semana,semana,4,neutro
senor,senor,4,neutro
senora,senora,4,neutro
seria,seria,4,neutro
si,si,6,positivo
siembra,siembra,6,positivo
siempre,siempre,4,neutro
silvestre,silestre,6,positivo
silvestre,silvestre,6,positivo
situacion,situacion,4,neutro
sociable,sociable,6,positivo
solia,solia,4,neutro
solo,solo,1,negativo
spa,spa,4,neutro
sube,sube,4,neutro
super,super,5,positivo
tambien,tambien,4,neutro
taxista,taxista,4,neutro
tema,tema,4,neutro
tematico,tematico,4,neutro
temporadas,temporadas,4,neutro
tenia,tenia,4,neutro
terreno,propiedades,4,neutro
terreno,terreno,4,neutro
terreno,terrenos,4,neutro
testigo,testigo,4,neutro
tiempo,tiempo,4,neutro
tienda,cerveceria,4,neutro
tienda,tienda,4,neutro
tienda,tiendita,4,neutro
tienda,tortilleria,4,neutro
timida,timida,4,neutro
timida,timido,4,neutro
todavia,todavia,2,negativo
todo,todo,4,neutro
tour,tour,4,neutro
trabaja,trabaja,5,positivo
trabaja,trabajo,5,positivo
tranquilidad,tranquilidad,6,positivo
tranquilidad,tranquilo,6,positivo
transporte,transporte,4,neutro
turismo,turismo,6,positivo
turismo,turistico,6,positivo
unico,unico,4,neutro
veces,veces,4,neutro
vecinos,vecinos,4,neutro
vendan,vendan,4,neutro
vendan,vendieron,4,neutro
verdura,cilantro,5,positivo
verdura,epazote,5,positivo
verdura,hierba,5,positivo
verdura,tomate,5,positivo
viajes,viajes,4,neutro
vida,vida,6,positivo
vigilen,vigilen,4,neutro
visitar,visitar,4,neutro
vive,vive,6,positivo
vivir,vivir,6,positivo
volver,volver,4,neutro
votan,votan,4,neutro
yate,yate,4,neutro
