1.-¿QUÉ USO LE DAN SUS VECINOS A LA SALINA?,,,,,,,,,
FOLIO,RESPUESTA,OPINION,,,,,,,
012,OLORES,,,,,,,,
013,OLORES,,,,,,,,
014,OLORES,,,,,,,,
015,OTRO,NINGUNA,,,,,,,
016,OLORES,,,,,,,,
017,OTRO,,,,,,,,
018,OLORES,,,,,,,,
019,BASURA,,,,,,,,
020,OLORES,,,,,,,,
021,OLORES,,,,,,,,
022,OLORES,,,,,,,,
023,OLORES,,,,,,,,
024,OLORES,,,,,,,,
025,OLORES,MOSCOS,,,,,,,
026,OLORES,,,,,,,,
027,INUNDACIONES,,,,,,,,
028,OLORES,,,,,,,,
029,INUNDACIONES,,,,,,,,
030,OLORES,,,,,,,,
031,OLORES,,,,,,,,
032,OLORES,,,,,,,,
033,OLORES,,,,,,,,
034,INUNDACIONES,,,,,,,,
035,OLORES,,,,,,,,
036,OTRO,MOSCOS,,,,,,,
037,OLORES,MOSCOS,,,,,,,
038,OLORES,,,,,,,,
039,OLORES,,,,,,,,
040,OLORES,,,,,,,,
041,OLORES,,,,,,,,
042,OLORES,,,,,,,,
043,OLORES,,,,,,,,
044,OLORES,FLORA Y FAUNA MUERTA,,,,,,,
045,BASURA,,,,,,,,
046,OLORES,,,,,,,,
047,OLORES,,,,,,,,
048,OLORES,CUANDO SE SECA,,,,,,,
049,INUNDACIONES,,,,,,,,
050,OLORES,,,,,,,,
051,FLORA Y FAUNA ,,,,,,,,
052,OTRO,MOSCOS,,,,,,,
053,BASURA,,,,,,,,
054,OLORES,,,,,,,,
055,OLORES,,,,,,,,
,,,,,,,,,
"6.-¿HAN LLEVADO A CABO ALGUNA ACTIVIDAD DE LMPIEZA, SANEAMIENTO O CONSERVACIÓN DE LA SALINA?",,,,,,,,,
FOLIO,RESPUESTA,OPINION,,,,,,,
001,NUNCA ,,,,,,,,
002,SIEMPRE,,,,,,,,
003,NUNCA ,,,,,,,,
004,NUNCA ,,,,,,,,
005,A VECES,,,,,,,,
006,SIEMPRE,LIMPIEZA,,,,,,,
007,SIEMPRE,,,,,,,,
008,NUNCA ,,,,,,,,
009,SIEMPRE,,,,,,,,
010,SIEMPRE,,,,,,,,
011,NUNCA ,,,,,,,,
012,A VECES,,,,,,,,
013,A VECES,,,,,,,,
014,NUNCA ,SOLO FUMIGAN,,,,,,,
015,A VECES,BOMBEADO,,,,,,,
016,A VECES,,,,,,,,
017,NUNCA ,,,,,,,,
018,NUNCA ,,,,,,,,
019,A VECES,,,,,,,,
020,SIEMPRE,,,,,,,,
021,NUNCA ,,,,,,,,
022,NUNCA ,,,,,,,,
023,NUNCA ,ANTES,,,,,,,
024,NUNCA ,,,,,,,,
025,SIEMPRE,,,,,,,,
026,NUNCA ,,,,,,,,
027,A VECES,,,,,,,,
028,NUNCA ,,,,,,,,
029,A VECES,,,,,,,,
030,OTRO,HACE AÑOS,,,,,,,
031,A VECES,,,,,,,,
032,NUNCA ,,,,,,,,
033,NUNCA ,,,,,,,,
034,SIEMPRE,CADA MES Ó 2 MESES,,,,,,,
035,A VECES,,,,,,,,
036,A VECES,,,,,,,,
037,SIEMPRE,CADA MES,,,,,,,
038,A VECES,,,,,,,,
039,A VECES,,,,,,,,
040,NUNCA ,,,,,,,,
041,A VECES,,,,,,,,
042,A VECES,,,,,,,,
043,NUNCA ,,,,,,,,
044,SIEMPRE,2 VECES A LA SEMANA,,,,,,,
045,SIEMPRE,,,,,,,,
046,NUNCA ,,,,,,,,
047,A VECES,,,,,,,,
048,A VECES,,,,,,,,
049,SIEMPRE,,,,,,,,
050,NUNCA ,,,,,,,,
051,A VECES,FUMIGAN CADA 3 MESES,,,,,,,
052,NUNCA ,,,,,,,,
053,A VECES,,,,,,,,
054,A VECES,,,,,,,,
055,A VECES,HACE TIEMPO POR EL GOBIERNO,,,,,,,
,,,,,,,,,
7.-¿ESTÁN CONECTADOS AL DRENAJE?,,,,,,,,,
FOLIO,RESPUESTA,,,,,,,,
001,NO SE,,,,,,,,
002,SI ,,,,,,,,
003,SI ,,,,,,,,
004,SI ,,,,,,,,
005,SI ,,,,,,,,
006,SI ,,,,,,,,
007,NO,,,,,,,,
008,SI ,,,,,,,,
009,SI ,,,,,,,,
010,SI ,,,,,,,,
011,NO SE,,,,,,,,
012,SI ,,,,,,,,
013,NO,,,,,,,,
014,NO,,,,,,,,
015,SI ,,,,,,,,
016,NO,,,,,,,,
017,NO SE,,,,,,,,
018,NO SE,,,,,,,,
019,SI ,,,,,,,,
020,SI ,,,,,,,,
021,SI ,,,,,,,,
022,SI ,,,,,,,,
023,SI ,,,,,,,,
024,SI ,,,,,,,,
025,SI ,,,,,,,,
026,SI ,,,,,,,,
027,SI ,,,,,,,,
028,NO,,,,,,,,
029,SI ,,,,,,,,
030,SI ,,,,,,,,
031,SI ,,,,,,,,
032,SI ,,,,,,,,
