1.-¿CUÁNTAS PERSONAS DE ESTA FAMILIA TRABAJAN?,,,,,,,
FOLIO,RESPUESTA,R:OTRO,,,,,
017,SIEMPRE,"FAVORES DE NEGOCIO, SI ALGUIEN NECESITA MERCANCÍA",,,,,
018,A VECES,DA CLASES,,,,,
019,NUNCA,,,,,,
020,NUNCA,,,,,,
021,SIEMPRE,POR AYUDA DE LA SALINA,,,,,
022,SIEMPRE,FIESTAS PATRONALES,,,,,
023,SIEMPRE,,,,,,
024,NUNCA,,,,,,
025,A VECES,,,,,,
026,NUNCA,,,,,,
027,SIEMPRE,,,,,,
028,NUNCA,,,,,,
029,SIEMPRE,,,,,,
030,NUNCA,,,,,,
031,NUNCA,,,,,,
032,NUNCA,,,,,,
033,NUNCA,,,,,,
034,NUNCA,,,,,,
035,NUNCA,,,,,,
036,NUNCA,,,,,,
037,NUNCA,,,,,,
038,NUNCA,,,,,,
039,NUNCA,,,,,,
040,NUNCA,,,,,,
041,NUNCA,,,,,,
042,NUNCA,,,,,,
043,NUNCA,,,,,,
044,NUNCA,,,,,,
045,SIEMPRE,EN EL INTERCAMBIO DE SUS PROPIOS COMERCIOS,,,,,
046,A VECES,COMPRAN EN EL NEGOCIO DE LOS VECINOS,,,,,
047,NUNCA,,,,,,
048,NUNCA,,,,,,
049,NUNCA,,,,,,
050,A VECES,,,,,,
051,NUNCA,,,,,,
052,NUNCA,,,,,,
053,NUNCA,,,,,,
054,NUNCA,,,,,,
055,SIEMPRE,,,,,,
